feature,pearson_r,pearson_p,spearman_r,spearman_p,significance
教师职称等级,0.2865,4.684223780267093e-16,0.0141,0.6960625331075403,***
实践课时占比,0.2302,9.687505463374317e-11,0.0122,0.7354666518622355,***
实践课时,0.2171,2.199203162007872e-08,0.0739,0.059622528337186904,***
讲课时长,-0.1294,0.00044979903561359906,0.022,0.5532263351059523,***
选课人数,-0.0354,0.3266225906559109,0.0782,0.02991625560937275,ns
总课时,0.0312,0.42613346423263787,0.0895,0.0223261906125083,ns
学分,-0.0209,0.5703329823758493,0.0367,0.31747153361232167,ns
是否线上,0.0164,0.6487538597921156,0.0079,0.8274549443630813,ns
是否共享,0.0102,0.7819238898125958,-0.0211,0.5662713245222325,ns
